sku,name,brand,category,price,currency,stock,weight_g,rating,tags,released_on,discontinued
FIT-0014,Anodised Aluminium Ankle Strap,Aurelis,Fitness,25.96,USD,2,4800,4.5,compact;flat-pack,2025-09-27,false
FIT-0015,Recycled Cork Yoga Block,Norvale Supply,Fitness,32.04,USD,47,6460,4.2,compact;recycled,2022-08-07,false
GRD-0001,Cast Iron Trellis,Norvale Supply,Garden,9.84,GBP,457,1670,4.5,bestseller;bundle;compact;flat-pack,2023-06-07,false
GRD-0002,Powder-coated Seed Tray,Orbex,Garden,129.11,EUR,4,510,3.8,dishwasher-safe;flat-pack;limited-run;recycled,2024-11-19,false
GRD-0003,Powder-coated Watering Can,Halcyon Field,Garden,13.11,USD,346,445,4.1,compact;limited-run,2025-07-04,false
GRD-0004,Recycled Cork Trellis,Norvale Supply,Garden,129.79,USD,0,2620,3.8,bestseller;gift-idea,2025-08-09,false
GRD-0005,Woven Jute Compost Bin,Orbex,Garden,25.27,EUR,84,3330,4.0,clearance;dishwasher-safe;gift-idea,2023-05-27,false
GRD-0006,Recycled Cork Hose Reel,Tessellate,Garden,46.8,USD,287,2185,4.2,clearance;gift-idea;limited-run;recycled,2025-02-04,false
GRD-0007,Copper-plated Pruning Shears,Tessellate,Garden,12.7,GBP,36,3295,3.6,bestseller;limited-run;new-arrival,2022-06-15,false
GRD-0008,Brushed Steel Compost Bin,Palewood,Garden,46.68,USD,93,130,3.7,compact;dishwasher-safe;new-arrival,2025-03-05,false
GRD-0009,Recycled Cork Trellis Lite,Palewood,Garden,185.86,USD,13,3910,4.2,flat-pack;new-arrival;premium,2024-05-20,false
GRD-0010,Bamboo Trellis,Vantiq,Garden,19.33,USD,33,2650,4.1,dishwasher-safe;recycled,2022-05-16,false
GRD-0011,Bamboo Hose Reel,Orbex,Garden,32.11,USD,2,2905,4.7,flat-pack;premium;recycled,2023-05-30,false
GRD-0012,Bamboo Compost Bin,Palewood,Garden,185.1,USD,14,470,3.2,bundle;limited-run,2022-03-08,false
GRD-0013,Woven Jute Plant Pot,Halcyon Field,Garden,75.33,USD,0,960,4.4,bestseller;gift-idea;limited-run;refurbished,2025-08-13,false
GRD-0014,Frosted Glass Seed Tray,Halcyon Field,Garden,13.46,USD,14,3265,3.4,bundle;dishwasher-safe;flat-pack,2023-11-06,false
GRD-0015,Recycled Cork Trellis Refill,Lumenta,Garden,249.1,USD,30,2090,3.4,bundle;limited-run;refurbished,2024-05-12,false
GRD-0016,Recycled Cork Garden Kneeler,Halcyon Field,Garden,75.03,USD,298,2855,3.9,compact;dishwasher-safe;new-arrival;recycled,2024-04-12,false
GRD-0017,Frosted Glass Seed Tray Refill,Aurelis,Garden,25.0,EUR,365,3520,4.8,bestseller;gift-idea;recycled,2025-05-05,false
GRD-0018,Brushed Steel Plant Pot,Vantiq,Garden,249.62,USD,477,620,3.5,new-arrival;refurbished,2025-04-08,false
GRD-0019,Linen-wrapped Pruning Shears,Quorra Labs,Garden,25.09,GBP,18,3115,3.6,bestseller;dishwasher-safe;gift-idea;premium,2023-03-18,false
GRD-0020,Linen-wrapped Seed Tray,Sundara,Garden,25.96,USD,447,3835,4.4,dishwasher-safe;recycled,2023-10-12,false
GRD-0021,Matte Ceramic Seed Tray,Vantiq,Garden,129.83,USD,33,1195,3.4,dishwasher-safe;flat-pack;refurbished,2023-01-08,false
GRD-0022,Woven Jute Pruning Shears,Bramblewick,Garden,12.56,GBP,20,3825,3.7,bundle;flat-pack,2025-01-24,false
KIT-0001,Oiled Walnut Mixing Bowl,Sundara,Kitchen,32.81,USD,184,1790,4.8,bundle;premium,2023-01-02,true
KIT-0002,Frosted Glass Colander,Tessellate,Kitchen,19.85,USD,213,2420,4.9,new-arrival;premium,2024-10-06,false
KIT-0003,Cast Iron Chopping Board,Aurelis,Kitchen,19.14,USD,61,1515,3.5,bundle;limited-run;new-arrival,2023-01-12,false
KIT-0004,Matte Ceramic Chopping Board,Norvale Supply,Kitchen,129.32,USD,468,680,4.3,bundle;flat-pack;limited-run,2023-10-09,false
KIT-0005,Brushed Steel Mixing Bowl,Kestrel Works,Kitchen,399.6,USD,0,1930,4.4,dishwasher-safe;flat-pack;refurbished,2022-11-15,true
KIT-0006,Slate Grey Teapot,Bramblewick,Kitchen,399.03,EUR,453,2470,4.8,compact;flat-pack;refurbished,2024-04-02,false
KIT-0007,Woven Jute Skillet,Vantiq,Kitchen,46.56,USD,433,2005,4.7,bestseller;bundle;limited-run;premium,2025-07-13,false
KIT-0008,Soft-touch Silicone Colander,Orbex,Kitchen,13.35,EUR,17,2585,3.6,bestseller;gift-idea,2022-12-12,false
KIT-0009,Anodised Aluminium Storage Jar,Bramblewick,Kitchen,19.16,USD,26,2125,3.9,clearance;limited-run;premium,2025-06-15,false
KIT-0010,Powder-coated Chopping Board,Vantiq,Kitchen,25.64,USD,37,935,4.7,compact;flat-pack,2022-04-22,false
KIT-0011,Cast Iron Kettle,Aurelis,Kitchen,46.3,USD,8,1415,4.5,bundle;clearance;flat-pack,2024-02-28,true
KIT-0012,Recycled Cork Storage Jar,Kestrel Works,Kitchen,399.13,USD,24,2575,3.7,compact;gift-idea;new-arrival,2024-11-04,true
KIT-0013,Copper-plated Teapot,Orbex,Kitchen,185.77,USD,347,1655,3.2,compact;limited-run;new-arrival;recycled,2023-10-21,false
KIT-0014,Powder-coated Chopping Board Refill,Palewood,Kitchen,74.58,USD,37,2270,4.2,bestseller;bundle;limited-run;new-arrival,2025-06-08,false
KIT-0015,Slate Grey Mixing Bowl,Halcyon Field,Kitchen,46.34,USD,356,2085,4.4,new-arrival;recycled,2024-12-20,false
KIT-0016,Copper-plated Mixing Bowl,Lumenta,Kitchen,129.04,GBP,3,1395,3.1,bundle;compact;gift-idea;recycled,2023-10-28,false
KIT-0017,Brushed Steel Storage Jar,Lumenta,Kitchen,249.38,USD,321,2400,4.6,clearance;compact;gift-idea;premium,2025-07-06,false
KIT-0018,Oiled Walnut Colander,Norvale Supply,Kitchen,25.8,USD,314,2575,4.8,bestseller;flat-pack;limited-run;recycled,2025-10-02,false
KIT-0019,Recycled Cork Kettle,Palewood,Kitchen,185.76,USD,0,1745,4.1,bestseller;limited-run;premium;refurbished,2025-02-02,false
KIT-0020,Copper-plated Colander,Norvale Supply,Kitchen,249.26,USD,33,2375,4.8,clearance;flat-pack;gift-idea;refurbished,2025-01-20,false
KIT-0021,Oiled Walnut Kettle,Sundara,Kitchen,129.07,USD,39,1850,4.1,gift-idea;limited-run,2025-03-20,false
LGT-0001,Bamboo Night Light,Tessellate,Lighting,46.04,USD,3,3700,3.3,bundle;clearance;new-arrival,2025-10-12,false
LGT-0002,Oiled Walnut Wall Sconce,Vantiq,Lighting,74.54,USD,203,3475,4.9,bundle;premium;recycled,2024-08-05,false
LGT-0003,Powder-coated Light Strip,Bramblewick,Lighting,249.29,USD,1,255,3.3,clearance;gift-idea,2023-01-26,false
LGT-0004,Soft-touch Silicone Light Strip,Quorra Labs,Lighting,5.93,USD,21,2870,4.5,clearance;flat-pack;premium;recycled,2025-01-14,false
LGT-0005,Oiled Walnut Wall Sconce Tall,Halcyon Field,Lighting,99.89,USD,13,1055,4.5,bestseller;dishwasher-safe;refurbished,2023-03-16,false
LGT-0006,Cast Iron Light Strip,Norvale Supply,Lighting,249.43,USD,0,3240,4.9,bestseller;compact;flat-pack;recycled,2024-02-13,false
LGT-0007,Copper-plated Pendant Shade,Bramblewick,Lighting,249.93,USD,25,3075,3.8,clearance;dishwasher-safe;new-arrival,2025-01-31,false
LGT-0008,Linen-wrapped Wall Sconce,Lumenta,Lighting,32.68,USD,33,1175,3.8,bestseller;clearance;limited-run;new-arrival,2023-05-18,false
LGT-0009,Anodised Aluminium Light Strip,Kestrel Works,Lighting,5.53,USD,16,1945,3.5,bestseller;compact;flat-pack;refurbished,2023-01-25,false
LGT-0010,Bamboo Light Strip,Aurelis,Lighting,75.38,USD,238,1070,3.7,compact;gift-idea;premium,2025-08-16,false
LGT-0011,Recycled Cork Night Light,Vantiq,Lighting,46.51,USD,415,2090,4.4,bestseller;compact;limited-run;refurbished,2023-12-19,false
LGT-0012,Powder-coated Light Strip Duo,Quorra Labs,Lighting,5.06,USD,38,3210,4.6,flat-pack;new-arrival,2022-10-22,false
LGT-0013,Woven Jute Bulb Set,Lumenta,Lighting,9.01,USD,27,1985,3.8,dishwasher-safe;limited-run,2022-12-03,false
LGT-0014,Woven Jute Floor Lamp,Sundara,Lighting,75.07,USD,17,2330,3.9,new-arrival;refurbished,2023-04-01,true
LGT-0015,Copper-plated Bulb Set,Bramblewick,Lighting,74.96,USD,7,2855,3.3,compact;premium;refurbished,2023-12-25,false
LGT-0016,Frosted Glass Wall Sconce,Lumenta,Lighting,9.34,EUR,26,1820,4.9,bestseller;gift-idea,2023-07-23,false
LGT-0017,Matte Ceramic Pendant Shade,Orbex,Lighting,399.94,USD,125,4415,3.8,bestseller;compact;new-arrival,2025-01-02,false
LGT-0018,Anodised Aluminium Reading Lamp,Tessellate,Lighting,399.19,EUR,7,1865,3.1,bestseller;gift-idea;limited-run,2024-06-26,false
LGT-0019,Copper-plated Wall Sconce,Tessellate,Lighting,249.84,USD,357,4890,3.6,flat-pack;gift-idea;new-arrival,2023-09-30,false
LGT-0020,Matte Ceramic Light Strip,Vantiq,Lighting,25.74,USD,142,1470,4.6,compact;flat-pack;new-arrival,2024-07-02,false
LGT-0021,Recycled Cork Light Strip,Vantiq,Lighting,12.74,USD,406,1715,3.6,dishwasher-safe;gift-idea;refurbished,2023-09-22,true
LGT-0022,Oiled Walnut Wall Sconce Twin Pack,Tessellate,Lighting,75.17,USD,238,2110,4.8,bestseller;clearance;dishwasher-safe;recycled,2022-08-16,true
LGT-0023,Oiled Walnut Clip Light,Halcyon Field,Lighting,59.61,USD,31,860,3.6,gift-idea;premium,2024-03-24,false
LGT-0024,Frosted Glass Wall Sconce Refill,Tessellate,Lighting,249.06,GBP,17,3030,4.9,bundle;dishwasher-safe;premium,2022-11-27,false
LGT-0025,Brushed Steel Clip Light,Lumenta,Lighting,19.55,USD,93,480,3.9,compact;dishwasher-safe;new-arrival,2022-06-18,false
LGT-0026,Bamboo Pendant Shade,Tessellate,Lighting,74.95,USD,0,2455,3.7,bestseller;new-arrival;refurbished,2025-01-19,false
OFF-0001,Oiled Walnut Chair Cushion,Norvale Supply,Office,59.16,USD,21,1700,4.9,bestseller;flat-pack;recycled,2022-12-26,false
OFF-0002,Recycled Cork Laptop Stand,Vantiq,Office,12.87,USD,3,3685,3.4,bundle;compact;premium,2023-10-08,false
OFF-0003,Powder-coated Footrest,Sundara,Office,32.13,USD,340,5865,4.0,gift-idea;limited-run;premium;recycled,2024-01-23,false
OFF-0004,Powder-coated Footrest Twin Pack,Vantiq,Office,249.74,USD,111,835,3.5,bundle;compact;dishwasher-safe,2023-08-19,false
OFF-0005,Powder-coated Footrest Refill,Bramblewick,Office,59.35,EUR,303,1815,3.7,clearance;flat-pack;gift-idea;recycled,2024-12-28,false
OFF-0006,Slate Grey Desk Mat,Sundara,Office,99.76,USD,19,4635,3.6,bundle;compact;dishwasher-safe;recycled,2023-09-24,false
OFF-0007,Cast Iron Drawer Unit,Halcyon Field,Office,129.41,GBP,10,5140,3.9,compact;dishwasher-safe;flat-pack,2025-11-22,false
OFF-0008,Copper-plated Cable Tray,Lumenta,Office,129.02,USD,6,2730,4.2,compact;gift-idea,2022-04-11,false
OFF-0009,Powder-coated Footrest Compact,Sundara,Office,399.31,EUR,35,1645,4.2,bundle;dishwasher-safe;limited-run;refurbished,2023-07-30,false
OFF-0010,Woven Jute Monitor Riser,Orbex,Office,5.03,EUR,163,5520,4.1,compact;gift-idea;premium;recycled,2024-03-19,false
OFF-0011,Slate Grey Monitor Riser,Norvale Supply,Office,9.41,USD,80,4170,3.9,bestseller;flat-pack;limited-run,2022-10-03,false
OFF-0012,Linen-wrapped Drawer Unit,Halcyon Field,Office,19.02,USD,271,1380,4.1,bestseller;dishwasher-safe;premium;recycled,2024-02-05,false
OFF-0013,Cast Iron Cable Tray,Halcyon Field,Office,13.42,USD,0,3095,4.9,bundle;compact;flat-pack,2024-10-16,false
OFF-0014,Linen-wrapped Desk Mat,Kestrel Works,Office,185.95,USD,193,2155,4.5,bestseller;dishwasher-safe;gift-idea;limited-run,2024-09-30,false
OFF-0015,Powder-coated Cable Tray,Sundara,Office,185.07,USD,19,3730,3.2,clearance;dishwasher-safe;limited-run;refurbished,2025-01-09,true
OFF-0016,Slate Grey Desk Mat Wide,Norvale Supply,Office,9.05,USD,0,6040,3.9,compact;gift-idea,2025-09-24,false
OFF-0017,Copper-plated Chair Cushion,Palewood,Office,46.35,USD,12,2240,3.3,bundle;dishwasher-safe;premium,2022-04-22,false
OFF-0018,Bamboo Desk Mat,Vantiq,Office,12.91,USD,205,5210,4.2,clearance;gift-idea;limited-run;new-arrival,2024-09-20,false
OFF-0019,Oiled Walnut Drawer Unit,Aurelis,Office,129.53,USD,94,4820,4.2,gift-idea;refurbished,2024-01-08,false
OFF-0020,Copper-plated Drawer Unit,Orbex,Office,18.99,USD,217,2405,4.0,dishwasher-safe;gift-idea;new-arrival;recycled,2022-09-11,false
OFF-0021,Woven Jute Desk Mat,Palewood,Office,185.28,USD,194,3410,4.1,clearance;refurbished,2023-09-22,false
OFF-0022,Anodised Aluminium Cable Tray,Bramblewick,Office,249.65,EUR,389,1980,4.9,compact;premium,2024-02-10,true
OFF-0023,Soft-touch Silicone Footrest,Aurelis,Office,185.64,USD,385,3685,4.8,bestseller;bundle;new-arrival;premium,2025-08-07,false
OFF-0024,Bamboo Chair Cushion,Kestrel Works,Office,19.82,USD,27,5490,4.1,bestseller;flat-pack;gift-idea;new-arrival,2022-05-25,false
OFF-0025,Recycled Cork Laptop Stand Compact,Tessellate,Office,75.34,USD,473,1165,3.5,bestseller;bundle;new-arrival,2023-07-23,true
OFF-0026,Brushed Steel Footrest,Quorra Labs,Office,32.07,EUR,36,1735,4.9,clearance;gift-idea,2023-02-27,false
OFF-0027,Slate Grey Desk Mat Mini,Aurelis,Office,19.1,EUR,475,2645,3.7,flat-pack;premium,2022-11-29,false
OUT-0001,Linen-wrapped Dry Bag,Bramblewick,Outdoor,46.39,GBP,0,2165,3.3,bestseller;clearance;limited-run;new-arrival,2022-08-20,false
OUT-0002,Anodised Aluminium Camp Chair,Aurelis,Outdoor,59.34,USD,404,3495,4.9,new-arrival;recycled,2022-03-21,false
OUT-0003,Copper-plated Hammock,Aurelis,Outdoor,25.37,USD,219,190,4.2,gift-idea;new-arrival,2024-03-12,false
OUT-0004,Linen-wrapped Cool Box,Vantiq,Outdoor,249.48,USD,33,2225,4.1,gift-idea;premium;refurbished,2025-10-10,false
OUT-0005,Cast Iron Lantern,Halcyon Field,Outdoor,129.63,USD,35,3735,4.7,bestseller;compact,2022-03-08,false
OUT-0006,Frosted Glass Lantern,Quorra Labs,Outdoor,74.63,EUR,38,2450,4.8,flat-pack;recycled,2023-04-03,false
OUT-0007,Brushed Steel Lantern,Halcyon Field,Outdoor,74.96,EUR,66,3045,3.8,dishwasher-safe;recycled;refurbished,2024-03-16,false
OUT-0008,Slate Grey Hammock,Norvale Supply,Outdoor,32.29,EUR,20,240,3.1,limited-run;recycled;refurbished,2022-10-18,false
OUT-0009,Soft-touch Silicone Trekking Pole,Lumenta,Outdoor,59.19,USD,10,670,4.9,compact;limited-run,2024-04-08,false
OUT-0010,Recycled Cork Water Bottle,Tessellate,Outdoor,12.54,USD,28,1990,3.1,dishwasher-safe;flat-pack,2024-05-18,false
OUT-0011,Recycled Cork Dry Bag,Vantiq,Outdoor,32.2,USD,10,2820,3.6,limited-run;new-arrival;recycled,2025-02-18,false
OUT-0012,Cast Iron Camp Chair,Bramblewick,Outdoor,185.21,USD,162,3465,4.7,clearance;premium;refurbished,2023-06-17,false
OUT-0013,Oiled Walnut Cool Box,Orbex,Outdoor,129.58,USD,375,405,3.6,clearance;compact,2025-01-15,true
OUT-0014,Soft-touch Silicone Tarp,Norvale Supply,Outdoor,19.67,EUR,393,2145,4.0,bundle;limited-run;new-arrival,2025-08-23,false
OUT-0015,Soft-touch Silicone Cool Box,Sundara,Outdoor,19.66,USD,3,3720,4.5,flat-pack;limited-run,2022-06-10,false
OUT-0016,Powder-coated Cool Box,Sundara,Outdoor,19.06,USD,245,2755,3.3,bestseller;new-arrival,2025-07-10,false
OUT-0017,Cast Iron Camp Chair Refill,Tessellate,Outdoor,74.52,USD,18,3755,3.4,gift-idea;recycled,2025-06-04,true
PET-0001,Copper-plated Collar Tag,Lumenta,Pet,9.03,USD,188,1165,4.0,flat-pack;gift-idea;recycled;refurbished,2022-12-12,false
PET-0002,Powder-coated Pet Bed,Bramblewick,Pet,25.64,USD,114,1935,3.6,bundle;compact;dishwasher-safe;limited-run,2025-04-20,false
PET-0003,Frosted Glass Pet Bed,Palewood,Pet,99.47,USD,6,425,4.4,bestseller;bundle;new-arrival;recycled,2025-06-28,false
PET-0004,Brushed Steel Grooming Brush,Lumenta,Pet,99.92,USD,31,2610,4.6,bundle;premium;refurbished,2025-02-15,false
PET-0005,Cast Iron Grooming Brush,Orbex,Pet,32.63,USD,15,2540,3.2,bundle;dishwasher-safe;flat-pack;premium,2025-04-03,true
PET-0006,Anodised Aluminium Litter Scoop,Quorra Labs,Pet,99.41,USD,316,195,4.8,bestseller;bundle;gift-idea,2024-07-13,false
PET-0007,Slate Grey Litter Scoop,Lumenta,Pet,5.61,USD,17,1575,3.7,clearance;dishwasher-safe;limited-run;new-arrival,2023-10-24,false
PET-0008,Anodised Aluminium Chew Toy,Palewood,Pet,249.17,USD,35,260,3.5,flat-pack;gift-idea;limited-run,2022-07-24,false
PET-0009,Frosted Glass Feeding Bowl,Halcyon Field,Pet,59.09,USD,93,2865,3.6,limited-run;new-arrival,2025-02-15,false
PET-0010,Soft-touch Silicone Pet Bed,Bramblewick,Pet,59.27,USD,158,1040,4.9,compact;recycled,2023-08-14,false
PET-0011,Woven Jute Collar Tag,Quorra Labs,Pet,249.01,USD,403,1275,4.2,dishwasher-safe;gift-idea;new-arrival;premium,2025-06-01,false
PET-0012,Matte Ceramic Feeding Bowl,Aurelis,Pet,249.99,USD,51,2025,3.4,clearance;dishwasher-safe;gift-idea;refurbished,2023-08-13,false
PET-0013,Brushed Steel Travel Crate,Bramblewick,Pet,5.67,USD,5,345,4.5,flat-pack;recycled,2025-11-18,false
PET-0014,Oiled Walnut Litter Scoop,Bramblewick,Pet,185.49,USD,31,380,4.7,bestseller;clearance;dishwasher-safe,2024-06-19,false
PET-0015,Bamboo Travel Crate,Lumenta,Pet,25.69,USD,37,1010,4.7,clearance;flat-pack;gift-idea;new-arrival,2023-02-14,true
PET-0016,Slate Grey Collar Tag,Palewood,Pet,75.27,USD,28,1100,4.3,compact;refurbished,2024-01-04,false
PET-0017,Anodised Aluminium Feeding Bowl,Bramblewick,Pet,99.12,USD,23,3150,3.9,gift-idea;refurbished,2025-07-22,true
PET-0018,Woven Jute Travel Crate,Aurelis,Pet,13.34,USD,5,2430,4.5,bestseller;bundle;gift-idea;limited-run,2024-05-07,false
PET-0019,Slate Grey Pet Bed,Aurelis,Pet,25.6,USD,431,2900,3.9,compact;premium;refurbished,2024-07-03,false
PET-0020,Bamboo Grooming Brush,Kestrel Works,Pet,75.49,USD,186,2505,4.4,clearance;dishwasher-safe;limited-run,2022-12-16,false
PET-0021,Matte Ceramic Grooming Brush,Aurelis,Pet,9.27,GBP,25,95,4.7,bestseller;dishwasher-safe;flat-pack;recycled,2025-05-24,false
STA-0001,Bamboo Washi Tape,Kestrel Works,Stationery,19.17,USD,360,125,4.4,bestseller;dishwasher-safe;flat-pack;recycled,2024-07-10,true
STA-0002,Linen-wrapped Sticker Sheet,Kestrel Works,Stationery,249.74,USD,80,565,4.9,bundle;dishwasher-safe;gift-idea;refurbished,2022-07-25,false
STA-0003,Soft-touch Silicone Sticker Sheet,Halcyon Field,Stationery,13.18,EUR,17,55,3.3,bestseller;compact;dishwasher-safe;refurbished,2024-02-28,true
STA-0004,Frosted Glass Index Cards,Kestrel Works,Stationery,46.97,USD,5,105,3.6,bundle;compact;limited-run,2025-01-20,false
STA-0005,Linen-wrapped Sticker Sheet Duo,Norvale Supply,Stationery,59.83,USD,0,655,4.7,bestseller;clearance;compact;limited-run,2024-11-22,false
STA-0006,Powder-coated Sticker Sheet,Quorra Labs,Stationery,74.97,USD,0,180,3.7,bestseller;clearance;dishwasher-safe;refurbished,2023-07-02,false
STA-0007,Bamboo Desk Planner,Vantiq,Stationery,129.82,USD,358,720,3.4,clearance;gift-idea;refurbished,2025-09-05,false
STA-0008,Copper-plated Pencil Case,Kestrel Works,Stationery,249.39,USD,151,310,3.5,flat-pack;new-arrival,2023-08-11,false
STA-0009,Anodised Aluminium Pencil Case,Sundara,Stationery,185.25,USD,216,740,4.8,compact;recycled;refurbished,2023-05-20,false
STA-0010,Woven Jute Sticker Sheet,Sundara,Stationery,25.25,USD,14,145,4.2,bundle;clearance,2025-06-29,false
STA-0011,Soft-touch Silicone Sticker Sheet Pro,Tessellate,Stationery,19.79,USD,22,470,3.8,dishwasher-safe;refurbished,2023-10-11,false
STA-0012,Bamboo Notebook,Aurelis,Stationery,5.36,USD,6,710,3.5,bestseller;clearance;premium;recycled,2024-10-27,false
STA-0013,Oiled Walnut Index Cards,Orbex,Stationery,74.73,USD,33,170,3.7,clearance;refurbished,2023-07-29,false
STA-0014,Matte Ceramic Washi Tape,Sundara,Stationery,99.51,USD,266,430,3.2,bestseller;bundle;recycled,2025-06-11,false
STA-0015,Oiled Walnut Pencil Case,Lumenta,Stationery,249.37,USD,92,515,3.6,bestseller;bundle;limited-run;premium,2025-10-21,false
STA-0016,Slate Grey Desk Planner,Aurelis,Stationery,399.09,USD,32,165,3.9,clearance;recycled,2024-04-14,false
STA-0017,Recycled Cork Pencil Case,Tessellate,Stationery,249.64,USD,0,640,3.4,limited-run;refurbished,2023-03-11,false
STA-0018,Soft-touch Silicone Pencil Case,Halcyon Field,Stationery,75.19,USD,19,560,3.4,bestseller;clearance;limited-run;recycled,2024-10-13,false
STA-0019,Anodised Aluminium Pencil Case Twin Pack,Bramblewick,Stationery,249.06,USD,205,650,4.2,bestseller;bundle;premium;recycled,2022-05-26,false
STA-0020,Copper-plated Desk Planner,Sundara,Stationery,13.42,USD,30,105,3.1,compact;flat-pack;limited-run;new-arrival,2022-04-28,false
STA-0021,Linen-wrapped Index Cards,Aurelis,Stationery,19.41,EUR,22,390,3.8,clearance;dishwasher-safe;gift-idea;limited-run,2022-08-22,false
STO-0001,Soft-touch Silicone Shoe Rack,Bramblewick,Storage,19.2,EUR,12,1430,3.6,bundle;premium,2022-10-29,false
STO-0002,Copper-plated Basket Set,Norvale Supply,Storage,9.47,GBP,39,2175,4.6,clearance;flat-pack;gift-idea;refurbished,2023-02-26,false
STO-0003,Copper-plated Wardrobe Rail,Vantiq,Storage,25.04,USD,166,2550,3.9,bundle;gift-idea;new-arrival;premium,2025-01-12,false
STO-0004,Matte Ceramic Basket Set,Orbex,Storage,25.05,USD,246,2875,4.3,flat-pack;new-arrival;refurbished,2022-10-25,false
STO-0005,Copper-plated Basket Set Compact,Sundara,Storage,25.41,USD,0,3295,3.3,bestseller;dishwasher-safe;new-arrival,2025-11-26,false
