ticket_id,user_id,subject,category,priority,status,channel,created_at,resolved_at,assignee,satisfaction,message
TCK-2022,1,Payment declined at checkout,billing,normal,resolved,email,2025-06-19T13:29:00Z,2025-06-22T00:29:00Z,isolde.novachek@veranix.example,5,"The checkout page says ""payment declined"", but my bank statement already shows the charge."
TCK-2023,29,Seat count did not update after upgrade,billing,normal,closed,email,2025-06-20T08:25:00Z,2025-06-22T00:25:00Z,niall.gundersen@veranix.example,1,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2024,82,Two-factor codes arrive late,account,normal,resolved,web-form,2025-06-20T19:48:00Z,2025-06-22T11:48:00Z,soren.brandt@veranix.example,3,"Codes turn up eight or nine minutes late, by which point the login screen has timed out."
TCK-2025,104,Discount code rejected as expired,billing,normal,closed,chat,2025-06-20T22:41:00Z,2025-06-28T07:41:00Z,reverie.pennington@veranix.example,4,"The code SPRING10 is rejected as ""expired"" although the banner still advertises it."
TCK-2026,30,Order stuck in pending for four days,shipping,normal,pending,chat,2025-06-21T02:33:00Z,,soren.merriweather@veranix.example,,"The order has read ""pending"" since Friday, with no dispatch note and no reply on chat."
TCK-2027,8,Attachment upload stalls at 90 percent,technical,low,pending,chat,2025-06-21T06:14:00Z,,reverie.pennington@veranix.example,,Uploads reach 90 percent and stop; smaller files under 2 MB go through without trouble.
TCK-2028,119,Cannot reset my password,account,high,closed,web-form,2025-06-21T09:00:00Z,2025-06-28T19:00:00Z,isolde.novachek@veranix.example,4,I have tried three browsers and a private window; the reset link always says it has expired.
TCK-2029,103,Weekly digest email never arrives,account,high,open,web-form,2025-06-21T18:08:00Z,,,,"The digest has not arrived since the 12th, and it is not in spam or the promotions tab."
TCK-2030,3,Account locked after one failed login,account,normal,closed,web-form,2025-06-22T02:15:00Z,2025-06-24T01:15:00Z,kiera.eastgate@veranix.example,1,"One typo in the password locked the account outright, with no unlock email sent."
TCK-2031,91,Seat count did not update after upgrade,billing,normal,closed,chat,2025-06-22T12:10:00Z,2025-06-25T12:10:00Z,reverie.pennington@veranix.example,3,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2032,46,Parcel marked delivered but missing,shipping,normal,pending,chat,2025-06-22T22:53:00Z,,gideon.jandreau@veranix.example,,"Tracking says delivered at 10:14, nothing arrived, and the neighbours have not taken it in."
TCK-2033,115,Attachment upload stalls at 90 percent,technical,normal,closed,email,2025-06-23T05:57:00Z,2025-07-02T22:57:00Z,soren.merriweather@veranix.example,5,Uploads reach 90 percent and stop; smaller files under 2 MB go through without trouble.
TCK-2034,27,Export finishes with an empty file,technical,normal,pending,web-form,2025-06-23T11:17:00Z,,soren.merriweather@veranix.example,,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2035,43,Two-factor codes arrive late,account,normal,closed,chat,2025-06-23T18:47:00Z,2025-06-25T01:47:00Z,gideon.jandreau@veranix.example,3,"Codes turn up eight or nine minutes late, by which point the login screen has timed out."
TCK-2036,53,Seat count did not update after upgrade,billing,normal,closed,email,2025-06-25T16:38:00Z,2025-06-30T08:38:00Z,dorian.quillfeather@veranix.example,4,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2037,13,Cannot remove a card from my wallet,account,high,resolved,email,2025-06-25T16:49:00Z,2025-07-02T14:49:00Z,soren.brandt@veranix.example,5,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2038,72,Duplicate charge on one order,billing,normal,escalated,phone,2025-06-26T22:12:00Z,,bastian.quintero@veranix.example,,"One order, two charges, same amount, same timestamp - please reverse the second one."
TCK-2039,34,Seat count did not update after upgrade,billing,low,resolved,chat,2025-06-27T06:14:00Z,2025-06-27T18:14:00Z,kestrel.hartwell@veranix.example,3,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2040,1,Order stuck in pending for four days,shipping,normal,pending,web-form,2025-06-28T01:22:00Z,,dorian.quillfeather@veranix.example,,"The order has read ""pending"" since Friday, with no dispatch note and no reply on chat."
TCK-2041,62,Export finishes with an empty file,technical,low,closed,phone,2025-06-28T17:06:00Z,2025-07-07T14:06:00Z,kestrel.hartwell@veranix.example,4,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2042,118,Duplicate charge on one order,billing,normal,open,email,2025-06-29T08:28:00Z,,gideon.jandreau@veranix.example,,"One order, two charges, same amount, same timestamp - please reverse the second one."
TCK-2043,18,Invoice shows the wrong VAT rate,billing,normal,escalated,email,2025-06-29T09:23:00Z,,isolde.prendergast@veranix.example,,"The invoice line reads ""VAT 20%"" while my account is registered as zero-rated."
TCK-2044,21,Export finishes with an empty file,technical,normal,closed,phone,2025-06-29T13:19:00Z,2025-07-03T22:19:00Z,isolde.prendergast@veranix.example,4,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2045,112,Order stuck in pending for four days,shipping,normal,closed,email,2025-06-29T15:45:00Z,2025-06-30T14:45:00Z,soren.merriweather@veranix.example,5,"The order has read ""pending"" since Friday, with no dispatch note and no reply on chat."
TCK-2046,61,Address change ignored on dispatch,shipping,low,closed,email,2025-06-30T09:44:00Z,2025-06-30T14:44:00Z,gideon.jandreau@veranix.example,1,I changed the delivery address an hour before dispatch and it shipped to the old one anyway.
TCK-2047,56,Search returns no results for a known product,product,low,open,chat,2025-07-01T19:14:00Z,,,,"Searching for the exact product name gives nothing, though the product page loads fine."
TCK-2048,43,Export finishes with an empty file,technical,normal,resolved,email,2025-07-03T01:52:00Z,2025-07-09T01:52:00Z,reverie.pennington@veranix.example,3,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2049,11,Order stuck in pending for four days,shipping,normal,resolved,email,2025-07-03T16:44:00Z,2025-07-08T06:44:00Z,soren.merriweather@veranix.example,5,"The order has read ""pending"" since Friday, with no dispatch note and no reply on chat."
TCK-2050,52,Attachment upload stalls at 90 percent,technical,urgent,resolved,chat,2025-07-04T12:37:00Z,2025-07-07T06:37:00Z,soren.merriweather@veranix.example,3,Uploads reach 90 percent and stop; smaller files under 2 MB go through without trouble.
TCK-2051,110,Weekly digest email never arrives,account,low,closed,web-form,2025-07-04T20:58:00Z,2025-07-09T07:58:00Z,isolde.prendergast@veranix.example,5,"The digest has not arrived since the 12th, and it is not in spam or the promotions tab."
TCK-2052,10,Sandbox key rejected by the live endpoint,technical,high,resolved,web-form,2025-07-04T22:23:00Z,2025-07-15T16:23:00Z,reverie.pennington@veranix.example,3,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2053,101,Cannot remove a card from my wallet,account,low,closed,email,2025-07-06T01:32:00Z,2025-07-07T11:32:00Z,isolde.novachek@veranix.example,4,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2054,84,Report totals disagree with the dashboard,technical,low,resolved,web-form,2025-07-07T14:32:00Z,2025-07-18T07:32:00Z,dorian.quillfeather@veranix.example,4,"The dashboard shows 1,204 events and the CSV export of the same range shows 1,198."
TCK-2055,14,Payment declined at checkout,billing,normal,resolved,web-form,2025-07-07T21:33:00Z,2025-07-10T08:33:00Z,isolde.vasquez@veranix.example,1,"The checkout page says ""payment declined"", but my bank statement already shows the charge."
TCK-2056,42,Export finishes with an empty file,technical,high,open,web-form,2025-07-08T00:39:00Z,,reverie.pennington@veranix.example,,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2057,39,Parcel marked delivered but missing,shipping,normal,closed,chat,2025-07-09T17:22:00Z,2025-07-19T04:22:00Z,kiera.eastgate@veranix.example,2,"Tracking says delivered at 10:14, nothing arrived, and the neighbours have not taken it in."
TCK-2058,87,Attachment upload stalls at 90 percent,technical,normal,closed,email,2025-07-10T13:43:00Z,2025-07-11T18:43:00Z,soren.merriweather@veranix.example,4,Uploads reach 90 percent and stop; smaller files under 2 MB go through without trouble.
TCK-2059,61,Address change ignored on dispatch,shipping,high,resolved,email,2025-07-10T19:40:00Z,2025-07-17T02:40:00Z,kestrel.hartwell@veranix.example,5,I changed the delivery address an hour before dispatch and it shipped to the old one anyway.
TCK-2060,84,Search returns no results for a known product,product,normal,closed,email,2025-07-10T21:08:00Z,2025-07-11T05:08:00Z,dorian.quillfeather@veranix.example,4,"Searching for the exact product name gives nothing, though the product page loads fine."
TCK-2061,58,Seat count did not update after upgrade,billing,normal,closed,web-form,2025-07-13T08:27:00Z,2025-07-18T10:27:00Z,isolde.novachek@veranix.example,4,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2062,5,Seat count did not update after upgrade,billing,normal,closed,phone,2025-07-13T09:06:00Z,2025-07-20T13:06:00Z,soren.merriweather@veranix.example,4,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2063,66,Invoice shows the wrong VAT rate,billing,urgent,resolved,phone,2025-07-13T12:41:00Z,2025-07-13T21:41:00Z,soren.brandt@veranix.example,1,"The invoice line reads ""VAT 20%"" while my account is registered as zero-rated."
TCK-2064,3,Seat count did not update after upgrade,billing,normal,escalated,phone,2025-07-13T16:36:00Z,,kestrel.hartwell@veranix.example,,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2065,48,Parcel marked delivered but missing,shipping,normal,pending,email,2025-07-14T18:49:00Z,,katriel.eriksen@veranix.example,,"Tracking says delivered at 10:14, nothing arrived, and the neighbours have not taken it in."
TCK-2066,95,Invoice shows the wrong VAT rate,billing,normal,open,web-form,2025-07-14T22:00:00Z,,gideon.jandreau@veranix.example,,"The invoice line reads ""VAT 20%"" while my account is registered as zero-rated."
TCK-2067,72,Invoice shows the wrong VAT rate,billing,high,resolved,email,2025-07-15T00:08:00Z,2025-07-24T11:08:00Z,bastian.quintero@veranix.example,5,"The invoice line reads ""VAT 20%"" while my account is registered as zero-rated."
TCK-2068,105,Sandbox key rejected by the live endpoint,technical,high,open,email,2025-07-15T07:38:00Z,,,,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2069,96,Address change ignored on dispatch,shipping,urgent,closed,web-form,2025-07-16T13:59:00Z,2025-07-16T15:59:00Z,maren.quintero@veranix.example,3,I changed the delivery address an hour before dispatch and it shipped to the old one anyway.
TCK-2070,81,Attachment upload stalls at 90 percent,technical,normal,open,email,2025-07-17T03:14:00Z,,,,Uploads reach 90 percent and stop; smaller files under 2 MB go through without trouble.
TCK-2071,68,Two-factor codes arrive late,account,low,resolved,email,2025-07-17T10:37:00Z,2025-07-18T23:37:00Z,maren.quintero@veranix.example,2,"Codes turn up eight or nine minutes late, by which point the login screen has timed out."
TCK-2072,19,Refund has not reached my account,refund,urgent,open,email,2025-07-17T16:00:00Z,,kestrel.blackwood@veranix.example,,You confirmed the refund on the 3rd; twelve days later it is still not on the card.
TCK-2073,61,Refund has not reached my account,refund,low,closed,email,2025-07-18T01:06:00Z,2025-07-19T05:06:00Z,isolde.novachek@veranix.example,5,You confirmed the refund on the 3rd; twelve days later it is still not on the card.
TCK-2074,90,Cannot remove a card from my wallet,account,normal,open,social,2025-07-19T01:53:00Z,,niall.gundersen@veranix.example,,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2075,35,Discount code rejected as expired,billing,low,closed,phone,2025-07-19T02:20:00Z,2025-07-27T00:20:00Z,soren.merriweather@veranix.example,5,"The code SPRING10 is rejected as ""expired"" although the banner still advertises it."
TCK-2076,49,Refund has not reached my account,refund,low,closed,phone,2025-07-19T04:03:00Z,2025-07-29T02:03:00Z,niall.gundersen@veranix.example,4,You confirmed the refund on the 3rd; twelve days later it is still not on the card.
TCK-2077,44,Timezone shown in the wrong offset,technical,low,resolved,chat,2025-07-21T08:34:00Z,2025-07-23T18:34:00Z,isolde.prendergast@veranix.example,2,"Every timestamp renders two hours behind, even after setting the timezone in settings."
TCK-2078,43,Search returns no results for a known product,product,low,closed,web-form,2025-07-21T10:09:00Z,2025-07-29T03:09:00Z,dorian.quillfeather@veranix.example,5,"Searching for the exact product name gives nothing, though the product page loads fine."
TCK-2079,85,Cannot reset my password,account,normal,escalated,chat,2025-07-21T19:33:00Z,,gideon.jandreau@veranix.example,,I have tried three browsers and a private window; the reset link always says it has expired.
TCK-2080,57,Seat count did not update after upgrade,billing,normal,closed,email,2025-07-22T13:02:00Z,2025-08-01T03:02:00Z,gideon.jandreau@veranix.example,5,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2081,71,Export finishes with an empty file,technical,high,closed,email,2025-07-24T05:43:00Z,2025-07-31T14:43:00Z,reverie.pennington@veranix.example,3,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2082,79,Cannot remove a card from my wallet,account,normal,closed,email,2025-07-24T05:47:00Z,2025-07-24T20:47:00Z,isolde.novachek@veranix.example,5,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2083,17,Seat count did not update after upgrade,billing,urgent,resolved,phone,2025-07-24T06:59:00Z,2025-07-31T17:59:00Z,soren.brandt@veranix.example,3,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2084,59,Search returns no results for a known product,product,normal,pending,phone,2025-07-24T11:53:00Z,,kestrel.hartwell@veranix.example,,"Searching for the exact product name gives nothing, though the product page loads fine."
TCK-2085,10,Duplicate charge on one order,billing,normal,pending,chat,2025-07-24T18:46:00Z,,soren.brandt@veranix.example,,"One order, two charges, same amount, same timestamp - please reverse the second one."
TCK-2086,74,Invoice shows the wrong VAT rate,billing,normal,closed,email,2025-07-25T14:23:00Z,2025-08-01T01:23:00Z,reverie.pennington@veranix.example,4,"The invoice line reads ""VAT 20%"" while my account is registered as zero-rated."
TCK-2087,26,Sandbox key rejected by the live endpoint,technical,high,resolved,web-form,2025-07-26T07:33:00Z,2025-08-02T18:33:00Z,gideon.jandreau@veranix.example,3,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2088,42,Parcel marked delivered but missing,shipping,high,closed,chat,2025-07-26T22:28:00Z,2025-08-04T01:28:00Z,gideon.jandreau@veranix.example,2,"Tracking says delivered at 10:14, nothing arrived, and the neighbours have not taken it in."
TCK-2089,118,Refund has not reached my account,refund,normal,resolved,chat,2025-07-27T04:34:00Z,2025-08-04T20:34:00Z,isolde.prendergast@veranix.example,4,You confirmed the refund on the 3rd; twelve days later it is still not on the card.
TCK-2090,22,Sandbox key rejected by the live endpoint,technical,normal,closed,chat,2025-07-28T06:18:00Z,2025-07-31T20:18:00Z,kiera.eastgate@veranix.example,4,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2091,103,Address change ignored on dispatch,shipping,normal,open,phone,2025-07-28T10:55:00Z,,bastian.quintero@veranix.example,,I changed the delivery address an hour before dispatch and it shipped to the old one anyway.
TCK-2092,111,Export finishes with an empty file,technical,high,closed,web-form,2025-07-29T14:22:00Z,2025-08-08T10:22:00Z,reverie.pennington@veranix.example,5,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2093,100,Sandbox key rejected by the live endpoint,technical,normal,closed,web-form,2025-07-30T06:32:00Z,2025-08-07T13:32:00Z,kestrel.blackwood@veranix.example,3,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2094,100,Seat count did not update after upgrade,billing,high,closed,chat,2025-07-30T11:54:00Z,2025-08-09T02:54:00Z,dorian.quillfeather@veranix.example,3,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2095,105,Sandbox key rejected by the live endpoint,technical,normal,open,email,2025-07-31T05:08:00Z,,bastian.quintero@veranix.example,,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2096,50,Seat count did not update after upgrade,billing,low,closed,phone,2025-07-31T07:19:00Z,2025-08-04T19:19:00Z,gideon.jandreau@veranix.example,4,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2097,36,Export finishes with an empty file,technical,normal,closed,chat,2025-07-31T12:07:00Z,2025-08-01T15:07:00Z,kestrel.hartwell@veranix.example,5,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2098,57,Invoice shows the wrong VAT rate,billing,normal,resolved,chat,2025-07-31T21:37:00Z,2025-08-04T06:37:00Z,katriel.eriksen@veranix.example,1,"The invoice line reads ""VAT 20%"" while my account is registered as zero-rated."
TCK-2099,78,Account locked after one failed login,account,low,pending,email,2025-08-01T07:30:00Z,,isolde.prendergast@veranix.example,,"One typo in the password locked the account outright, with no unlock email sent."
TCK-2100,53,Seat count did not update after upgrade,billing,normal,resolved,email,2025-08-01T20:21:00Z,2025-08-09T09:21:00Z,katriel.eriksen@veranix.example,3,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2101,58,Export finishes with an empty file,technical,urgent,closed,web-form,2025-08-02T01:45:00Z,2025-08-08T06:45:00Z,soren.brandt@veranix.example,4,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2102,87,Report totals disagree with the dashboard,technical,low,open,phone,2025-08-02T03:55:00Z,,bastian.quintero@veranix.example,,"The dashboard shows 1,204 events and the CSV export of the same range shows 1,198."
TCK-2103,17,Discount code rejected as expired,billing,high,closed,email,2025-08-02T05:07:00Z,2025-08-05T06:07:00Z,isolde.vasquez@veranix.example,5,"The code SPRING10 is rejected as ""expired"" although the banner still advertises it."
TCK-2104,67,Cannot remove a card from my wallet,account,normal,closed,email,2025-08-02T11:21:00Z,2025-08-12T06:21:00Z,isolde.prendergast@veranix.example,5,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2105,35,Timezone shown in the wrong offset,technical,high,escalated,web-form,2025-08-02T23:44:00Z,,isolde.prendergast@veranix.example,,"Every timestamp renders two hours behind, even after setting the timezone in settings."
TCK-2106,54,Export finishes with an empty file,technical,normal,pending,email,2025-08-03T23:43:00Z,,katriel.eriksen@veranix.example,,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2107,101,Cannot remove a card from my wallet,account,low,pending,email,2025-08-04T01:33:00Z,,isolde.vasquez@veranix.example,,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2108,74,Payment declined at checkout,billing,normal,resolved,email,2025-08-04T02:24:00Z,2025-08-07T10:24:00Z,dorian.quillfeather@veranix.example,5,"The checkout page says ""payment declined"", but my bank statement already shows the charge."
TCK-2109,42,Address change ignored on dispatch,shipping,high,escalated,web-form,2025-08-04T10:02:00Z,,isolde.novachek@veranix.example,,I changed the delivery address an hour before dispatch and it shipped to the old one anyway.
TCK-2110,111,Export finishes with an empty file,technical,normal,closed,email,2025-08-04T22:36:00Z,2025-08-06T22:36:00Z,isolde.prendergast@veranix.example,2,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2111,36,Order stuck in pending for four days,shipping,low,resolved,phone,2025-08-05T01:44:00Z,2025-08-13T23:44:00Z,isolde.prendergast@veranix.example,2,"The order has read ""pending"" since Friday, with no dispatch note and no reply on chat."
TCK-2112,66,Account locked after one failed login,account,normal,pending,email,2025-08-06T01:23:00Z,,soren.brandt@veranix.example,,"One typo in the password locked the account outright, with no unlock email sent."
TCK-2113,42,Discount code rejected as expired,billing,high,resolved,chat,2025-08-06T20:12:00Z,2025-08-16T23:12:00Z,soren.brandt@veranix.example,5,"The code SPRING10 is rejected as ""expired"" although the banner still advertises it."
TCK-2114,115,Timezone shown in the wrong offset,technical,high,open,chat,2025-08-06T20:22:00Z,,kestrel.blackwood@veranix.example,,"Every timestamp renders two hours behind, even after setting the timezone in settings."
TCK-2115,57,Address change ignored on dispatch,shipping,high,closed,web-form,2025-08-07T13:34:00Z,2025-08-14T15:34:00Z,kiera.eastgate@veranix.example,4,I changed the delivery address an hour before dispatch and it shipped to the old one anyway.
TCK-2116,73,Report totals disagree with the dashboard,technical,normal,resolved,email,2025-08-08T00:32:00Z,2025-08-16T06:32:00Z,katriel.eriksen@veranix.example,4,"The dashboard shows 1,204 events and the CSV export of the same range shows 1,198."
TCK-2117,87,Export finishes with an empty file,technical,normal,closed,email,2025-08-08T02:21:00Z,2025-08-12T18:21:00Z,soren.brandt@veranix.example,5,"The export runs for a minute, downloads a file of 0 bytes, and no error is shown anywhere."
TCK-2118,33,Cannot remove a card from my wallet,account,high,resolved,email,2025-08-08T03:43:00Z,2025-08-18T03:43:00Z,dorian.quillfeather@veranix.example,4,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2119,120,Weekly digest email never arrives,account,low,open,web-form,2025-08-08T12:32:00Z,,isolde.vasquez@veranix.example,,"The digest has not arrived since the 12th, and it is not in spam or the promotions tab."
TCK-2120,26,Refund has not reached my account,refund,low,resolved,phone,2025-08-08T16:18:00Z,2025-08-09T17:18:00Z,gideon.jandreau@veranix.example,2,You confirmed the refund on the 3rd; twelve days later it is still not on the card.
TCK-2121,15,Seat count did not update after upgrade,billing,normal,pending,email,2025-08-08T18:22:00Z,,bastian.quintero@veranix.example,,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2122,96,Weekly digest email never arrives,account,normal,closed,chat,2025-08-09T05:42:00Z,2025-08-14T07:42:00Z,kestrel.hartwell@veranix.example,4,"The digest has not arrived since the 12th, and it is not in spam or the promotions tab."
TCK-2123,115,Parcel marked delivered but missing,shipping,normal,closed,chat,2025-08-09T07:42:00Z,2025-08-14T14:42:00Z,bastian.quintero@veranix.example,5,"Tracking says delivered at 10:14, nothing arrived, and the neighbours have not taken it in."
TCK-2124,99,Weekly digest email never arrives,account,normal,closed,email,2025-08-10T03:56:00Z,2025-08-20T08:56:00Z,kestrel.blackwood@veranix.example,1,"The digest has not arrived since the 12th, and it is not in spam or the promotions tab."
TCK-2125,11,Address change ignored on dispatch,shipping,high,pending,phone,2025-08-10T09:29:00Z,,kiera.eastgate@veranix.example,,I changed the delivery address an hour before dispatch and it shipped to the old one anyway.
TCK-2126,62,Order stuck in pending for four days,shipping,low,escalated,email,2025-08-13T00:52:00Z,,kiera.eastgate@veranix.example,,"The order has read ""pending"" since Friday, with no dispatch note and no reply on chat."
TCK-2127,73,Sandbox key rejected by the live endpoint,technical,normal,closed,email,2025-08-14T02:00:00Z,2025-08-18T18:00:00Z,gideon.jandreau@veranix.example,3,The sandbox key works locally but the live endpoint answers 401 with no detail.
TCK-2128,46,Invoice shows the wrong VAT rate,billing,low,closed,email,2025-08-14T04:08:00Z,2025-08-15T16:08:00Z,isolde.vasquez@veranix.example,4,"The invoice line reads ""VAT 20%"" while my account is registered as zero-rated."
TCK-2129,40,Timezone shown in the wrong offset,technical,normal,resolved,email,2025-08-14T04:38:00Z,2025-08-22T04:38:00Z,kestrel.blackwood@veranix.example,5,"Every timestamp renders two hours behind, even after setting the timezone in settings."
TCK-2130,3,Discount code rejected as expired,billing,low,closed,email,2025-08-14T08:21:00Z,2025-08-20T11:21:00Z,kiera.eastgate@veranix.example,4,"The code SPRING10 is rejected as ""expired"" although the banner still advertises it."
TCK-2131,70,Cannot reset my password,account,normal,resolved,social,2025-08-14T14:33:00Z,2025-08-24T08:33:00Z,katriel.eriksen@veranix.example,2,I have tried three browsers and a private window; the reset link always says it has expired.
TCK-2132,66,Parcel marked delivered but missing,shipping,normal,resolved,email,2025-08-15T19:22:00Z,2025-08-22T16:22:00Z,soren.merriweather@veranix.example,4,"Tracking says delivered at 10:14, nothing arrived, and the neighbours have not taken it in."
TCK-2133,61,Report totals disagree with the dashboard,technical,normal,resolved,chat,2025-08-15T19:43:00Z,2025-08-22T17:43:00Z,kestrel.blackwood@veranix.example,5,"The dashboard shows 1,204 events and the CSV export of the same range shows 1,198."
