catalog_id	title	author	genre	language	pages	published_year	publisher	format	copies_available	rating
BK-0046	A Gilded Lanternwood	Hesper Duskwood	Literary Fiction	de	423	2002	Northmere Editions	ebook	1	3.1
BK-0047	Brackenhall and Saltglass	Joaquin Whitlock	Historical Fiction	en	125	2024	Marrow & Vane	paperback	1	4.1
BK-0048	Mistfall in the Saltglass	Halcyon Yarrow	Cookery	en	295	2016	Fen & Fable	hardcover	7	4.2
BK-0049	Luminous Mistfall	Odessa Marchetti	Travel Writing	de	706	2016	Northmere Editions	paperback	12	3.1
BK-0050	Wickerlight in the Frostwick	Vesper Pennington	Science Fiction	en	552	2023	Northmere Editions	paperback	4	3.7
BK-0051	The Last Cinderbell	Jarek Dunmore	Historical Fiction	en	133	2025	Sixpenny House	ebook	11	4.6
BK-0052	The Last Silverfen	Hollis Ardmore	Cookery	en	890	2017	Northmere Editions	hardcover	4	3.4
BK-0053	Fernhollow in the Undertow	Kiera Ashcombe	Cookery	pt	461	2007	Grayling Press	paperback	12	4.3
BK-0054	The Ashenvale of Emberline	Briony Kowalczyk	Fantasy	es	507	2001	Marrow & Vane	paperback	1	3.7
BK-0055	The Ravenglass of Stormglass	Emrys Gundersen	Fantasy	en	790	2011	Thistle Row	ebook	1	4.0
BK-0056	The Fernhollow of Amberfall	Amara Larkspur	Historical Fiction	en	215	2017	Thistle Row	audiobook	4	2.8
BK-0057	Gilded Frostwick	Wendell Marchetti	Historical Fiction	en	111	2000	Thistle Row	audiobook	12	3.0
BK-0058	Stormglass in the Duskwater	Jarek Nakamura	Biography	en	903	2017	Northmere Editions	audiobook	1	4.1
BK-0059	Thornmere in the Cinderbell	Delphine Whitlock	Cookery	en	875	2017	Fen & Fable	ebook	3	3.5
BK-0060	Undertow in the Brackenhall	Niall Ardmore	Fantasy	en	360	2003	Northmere Editions	paperback	6	4.2
BK-0061	The Last Halfmoon	Joaquin Eriksen	Poetry	en	373	2007	Hollowbrook Books	paperback	5	3.1
BK-0062	Ravenglass and Nightjar	Ulric Brandt	Poetry	en	230	2021	Thistle Row	paperback	4	4.8
BK-0063	The Saltglass of Cinderbell	Jarek Ivarsson	Biography	en	174	2017	Grayling Press	paperback	8	3.2
BK-0064	Luminous Stormglass	Verity Ingersleben	Fantasy	es	237	2022	Sixpenny House	audiobook	3	3.3
BK-0065	Ashenvale in the Brackenhall	Thaddeus Oakhurst	Biography	en	651	2003	Thistle Row	ebook	6	4.7
BK-0066	The Last Tidecall	Giselle Vasquez	Popular Science	en	97	2019	Marrow & Vane	hardcover	8	3.2
BK-0067	The Last Nightjar	Ulric Falkenrath	Science Fiction	en	358	1999	Grayling Press	hardcover	4	3.6
BK-0068	Moorlight and Brackenhall	Everard Fenwick	Mystery	en	662	2007	Northmere Editions	paperback	9	4.5
BK-0069	A Weathered Tidecall	Elowen Holloway	Essays	en	426	2023	Hollowbrook Books	paperback	2	3.6
BK-0070	The Moorlight of Hollowmere	Zinnia Delacroix	Cookery	en	569	2010	Marrow & Vane	hardcover	2	4.8
BK-0071	A Salted Frostwick	Ilaria Underhill	Mystery	ja	434	2002	Fen & Fable	ebook	1	4.8
BK-0072	Bellwether and Grimwold	Freya Whitlock	Reference	en	389	2017	Northmere Editions	paperback	6	4.0
BK-0073	The Cinderbell of Larkspur	Jorvik Gilliard	Literary Fiction	en	371	2023	Grayling Press	paperback	4	4.6
BK-0074	The Last Ashenvale	Ilaria Iversen	Travel Writing	pt	537	1998	Grayling Press	paperback	0	4.7
BK-0075	Cinderbell and Gleamfield	Verity Kaltenbach	Poetry	fr	931	2009	Marrow & Vane	paperback	4	4.4
BK-0076	The Ashenvale of Lanternwood	Reverie Vandermeer	Literary Fiction	en	291	2019	Marrow & Vane	paperback	3	4.4
BK-0077	Luminous Cinderbell	Amara Caldwell	Science Fiction	en	481	2017	Quarto Lantern	paperback	7	4.4
BK-0078	Ravenglass in the Lanternwood	Everard Ardmore	Mystery	en	567	2018	Quarto Lantern	hardcover	2	4.9
BK-0079	Forgotten Brackenhall	Lonan Gilliard	Literary Fiction	es	579	2009	Fen & Fable	paperback	3	4.9
BK-0080	Stormglass and Amberfall	Katriel Marchetti	Reference	en	764	2017	Sixpenny House	hardcover	6	2.9
BK-0081	Crooked Saltglass	Jorvik Larkspur	Fantasy	pt	551	2000	Hollowbrook Books	ebook	3	4.3
BK-0082	Mistfall and Silverfen	Caspian Tanaka	Literary Fiction	ja	126	2009	Fen & Fable	paperback	0	4.8
BK-0083	The Ashenvale of Stormglass	Bastian Oyelaran	Mystery	es	746	2019	Sixpenny House	paperback	4	2.9
BK-0084	Unquiet Stormglass	Halcyon Yarrow	Popular Science	en	474	2011	Fen & Fable	hardcover	1	3.8
BK-0085	Patient Halfmoon	Percival Larkspur	Science Fiction	es	775	2011	Fen & Fable	audiobook	4	3.2
BK-0086	The Last Rookery	Dahlia Underhill	Popular Science	en	947	2012	Marrow & Vane	paperback	4	3.1
BK-0087	Borrowed Gleamfield	Linnea Delacroix	Literary Fiction	en	625	2002	Quarto Lantern	paperback	11	4.7
BK-0088	Unquiet Nightjar	Emrys Oakhurst	Science Fiction	en	737	2017	Marrow & Vane	paperback	12	3.9
BK-0089	Emberline and Undertow	Giselle Falkenrath	Science Fiction	en	443	2014	Northmere Editions	paperback	1	2.8
BK-0090	The Last Bellwether	Lonan Thackeray	Mystery	de	799	2005	Quarto Lantern	hardcover	4	2.8
BK-0091	The Quillstone of Hollowmere	Hesper Yeardley	Historical Fiction	en	351	2023	Hollowbrook Books	paperback	1	3.3
BK-0092	Luminous Larkspur	Jorvik Novachek	Cookery	en	752	2017	Sixpenny House	hardcover	4	4.8
BK-0093	The Lanternwood of Duskwater	Ursula Delacroix	Popular Science	en	290	2010	Grayling Press	paperback	3	3.8
BK-0094	Weathered Amberfall	Peregrine Ivarsson	Science Fiction	en	685	2023	Quarto Lantern	hardcover	0	3.7
BK-0095	Mistfall in the Gleamfield	Maren Lindqvist	Mystery	en	136	2003	Grayling Press	audiobook	5	3.7
BK-0096	The Last Wickerlight	Maren Kowalczyk	Mystery	en	874	2001	Quarto Lantern	paperback	10	3.8
BK-0097	Rookery and Thornmere	Yolanda Merriweather	Biography	en	465	2009	Grayling Press	paperback	0	4.5
BK-0098	The Emberline of Quillstone	Delphine Gundersen	Reference	en	623	2005	Quarto Lantern	audiobook	0	3.8
BK-0099	Rookery and Silverfen	Katriel Sandoval	Popular Science	en	228	2002	Northmere Editions	paperback	4	4.3
BK-0100	Undertow and Ravenglass	Rosalind Zabala	Cookery	en	835	2001	Marrow & Vane	paperback	2	2.9
BK-0101	A Luminous Thornmere	Linnea Quillfeather	Literary Fiction	en	780	1999	Marrow & Vane	ebook	1	2.8
BK-0102	A Brittle Mistfall	Wendell Ravenscroft	Reference	en	380	2014	Thistle Row	paperback	3	3.3
BK-0103	A Luminous Hollowmere	Isolde Ivarsson	Biography	en	121	2023	Northmere Editions	audiobook	4	3.2
BK-0104	The Saltglass of Thornmere	Willa Lindqvist	Science Fiction	en	457	2004	Hollowbrook Books	audiobook	3	2.8
BK-0105	Saltglass and Mistfall	Jorvik Falkenrath	Science Fiction	en	325	2023	Sixpenny House	ebook	4	2.9
BK-0106	Larkspur in the Windrow	Dorian Moreau	Travel Writing	es	622	2006	Northmere Editions	ebook	0	4.5
BK-0107	Ravenglass in the Larkspur	Jarek Quintero	Popular Science	en	576	2008	Marrow & Vane	ebook	3	4.3
BK-0108	A Gilded Nightjar	Odessa Bergstrom	Historical Fiction	pt	604	2011	Thistle Row	hardcover	0	4.7
BK-0109	Wickerlight in the Mistfall	Amara Chaudhry	Biography	pt	286	2015	Grayling Press	ebook	3	3.0
BK-0110	The Quillstone of Fernhollow	Orsolya Everly	Fantasy	en	202	2021	Fen & Fable	paperback	0	4.8
BK-0111	A Wandering Silverfen	Ferris Lyngstad	Essays	en	494	2005	Thistle Row	paperback	5	2.9
BK-0112	The Last Saltglass	Dahlia Zabala	Cookery	ja	460	2013	Sixpenny House	paperback	1	3.9
BK-0113	Duskwater in the Amberfall	Gideon Fairbourne	Cookery	es	585	2014	Thistle Row	paperback	0	4.7
BK-0114	Fernhollow in the Ravenglass	Niall Ingersleben	Biography	en	218	2009	Marrow & Vane	paperback	4	4.0
BK-0115	Frostwick and Emberline	Bastian Larkspur	Fantasy	en	361	2010	Fen & Fable	paperback	8	4.1
BK-0116	The Last Moorlight	Beatrix Abernathy	Cookery	de	655	2011	Fen & Fable	audiobook	3	3.4
BK-0117	A Unnumbered Larkspur	Hesper Stellwagen	Biography	fr	349	2005	Northmere Editions	paperback	2	3.6
BK-0118	Reluctant Amberfall	Yolanda Kaltenbach	Travel Writing	en	935	2018	Fen & Fable	ebook	2	4.2
BK-0119	Undertow in the Grimwold	Galen Sandoval	Historical Fiction	de	717	2017	Quarto Lantern	ebook	3	4.8
BK-0120	A Borrowed Silverfen	Fiora Chaudhry	Literary Fiction	fr	534	2019	Sixpenny House	paperback	8	4.0
BK-0121	Stormglass and Grimwold	Verity Nakamura	Mystery	en	869	2000	Grayling Press	ebook	3	4.7
BK-0122	Moorlight in the Frostwick	Percival Fairbourne	Science Fiction	fr	903	2000	Sixpenny House	paperback	6	4.3
BK-0123	Grimwold and Tidecall	Soren Kaltenbach	Mystery	es	431	2009	Thistle Row	audiobook	1	3.0
BK-0124	Unnumbered Lanternwood	Jarek Jessop	Literary Fiction	en	180	2017	Marrow & Vane	paperback	1	4.9
BK-0125	A Hollow Frostwick	Linnea Ivarsson	Mystery	en	179	2025	Thistle Row	hardcover	3	4.2
BK-0126	A Luminous Tidecall	Katriel Zabala	Reference	en	901	2019	Hollowbrook Books	audiobook	1	3.2
BK-0127	Halfmoon in the Silverfen	Quinn Kowalczyk	Fantasy	en	733	2019	Marrow & Vane	hardcover	4	2.9
BK-0128	The Brackenhall of Nightjar	Quillon Eastgate	Travel Writing	es	410	2004	Northmere Editions	paperback	2	4.8
BK-0129	Reluctant Mistfall	Celeste Nordstrom	Reference	en	879	2023	Quarto Lantern	ebook	3	3.5
BK-0130	Stormglass and Frostwick	Gideon Delacroix	Travel Writing	en	469	2015	Marrow & Vane	hardcover	2	4.2
BK-0131	Moorlight in the Bellwether	Ferris Nakamura	Mystery	en	377	2017	Marrow & Vane	paperback	12	4.2
BK-0132	Thornmere in the Moorlight	Ilaria Cortland	Biography	en	730	2000	Hollowbrook Books	paperback	4	4.4
BK-0133	Reluctant Frostwick	Sable Hawthorne	Historical Fiction	en	592	2006	Hollowbrook Books	audiobook	10	3.0
BK-0134	Frostwick in the Amberfall	Cormac Whitlock	Biography	en	385	2023	Northmere Editions	paperback	8	3.1
BK-0135	Forgotten Lanternwood	Yrsa Yarrow	Fantasy	de	618	2021	Northmere Editions	hardcover	4	4.1
BK-0136	Grimwold in the Mistfall	Ulric Cortland	Cookery	es	502	2011	Thistle Row	ebook	3	4.9
BK-0137	Fernhollow in the Nightjar	Thaddeus Marchetti	Essays	en	763	2021	Marrow & Vane	paperback	2	4.5
BK-0138	Starling and Emberline	Sable Merriweather	Biography	en	736	2022	Quarto Lantern	hardcover	7	3.8
BK-0139	A Reluctant Quillstone	Verity Kaltenbach	Cookery	en	382	2004	Marrow & Vane	ebook	12	4.2
BK-0140	Salted Windrow	Malachi Vasquez	Biography	de	861	2013	Sixpenny House	audiobook	8	3.0
BK-0141	Hollowmere in the Mistfall	Percival Duskwood	Essays	fr	736	2006	Hollowbrook Books	paperback	6	2.8
BK-0142	Moorlight in the Tidecall	Bastian Tanaka	Mystery	ja	537	2017	Hollowbrook Books	ebook	6	3.4
BK-0143	Hollowmere in the Saltglass	Quillon Oakhurst	Science Fiction	en	587	2001	Northmere Editions	paperback	4	4.5
BK-0144	The Last Undertow	Joaquin Nakamura	Science Fiction	en	378	2022	Hollowbrook Books	hardcover	2	3.8
BK-0145	Stormglass and Ashenvale	Percival Marchetti	Essays	pt	623	2012	Quarto Lantern	audiobook	0	4.5
BK-0146	Bellwether and Lanternwood	Delphine Thackeray	Literary Fiction	en	924	2020	Quarto Lantern	hardcover	0	4.3
BK-0147	A Forgotten Duskwater	Briony Blackwood	Cookery	es	551	1998	Northmere Editions	paperback	3	4.2
BK-0148	Tidecall and Duskwater	Thaddeus Prendergast	Biography	en	779	2023	Marrow & Vane	paperback	3	4.8
BK-0149	Halfmoon and Silverfen	Quinn Ashcombe	Popular Science	en	305	2013	Fen & Fable	paperback	2	4.0
BK-0150	A Gilded Brackenhall	Thaddeus Cortland	Science Fiction	fr	269	2009	Thistle Row	paperback	8	3.1
BK-0151	The Last Fernhollow	Dorian Ingersleben	Travel Writing	en	571	2006	Grayling Press	ebook	4	3.8
BK-0152	Windrow in the Cinderbell	Kestrel Oyelaran	Essays	en	891	2023	Sixpenny House	ebook	2	4.0
BK-0153	Bellwether in the Ravenglass	Galen Hawthorne	Poetry	en	499	2009	Thistle Row	paperback	2	4.0
BK-0154	Moorlight and Nightjar	Delphine Thackeray	Popular Science	en	912	2014	Fen & Fable	ebook	2	4.1
BK-0155	Wandering Bellwether	Zephyr Krivosheev	Travel Writing	es	754	2008	Quarto Lantern	hardcover	0	4.2
BK-0156	Grimwold and Wickerlight	Amara Quillfeather	Biography	pt	530	2009	Thistle Row	paperback	1	4.8
BK-0157	Undertow in the Starling	Xander Bergstrom	Science Fiction	ja	691	2014	Hollowbrook Books	hardcover	4	4.5
BK-0158	The Amberfall of Wickerlight	Odessa Brandt	Literary Fiction	ja	190	1998	Sixpenny House	ebook	11	4.8
BK-0159	Moorlight in the Saltglass	Freya Abernathy	Fantasy	de	848	1998	Grayling Press	paperback	12	3.4
BK-0160	Lanternwood and Rookery	Isolde Prendergast	Fantasy	ja	511	2013	Hollowbrook Books	paperback	4	2.9
BK-0161	Luminous Lanternwood	Thaddeus Tanaka	Mystery	en	648	2010	Thistle Row	paperback	0	4.7
BK-0162	Starling in the Amberfall	Xander Blackwood	Mystery	en	567	2016	Hollowbrook Books	ebook	12	3.9
BK-0163	Unnumbered Ashenvale	Rosalind Falkenrath	Essays	en	572	2021	Grayling Press	paperback	5	3.2
BK-0164	Reluctant Undertow	Peregrine Vasquez	Reference	pt	125	2024	Marrow & Vane	paperback	0	2.8
BK-0165	Patient Saltglass	Freya Jarrow	Literary Fiction	en	976	2018	Hollowbrook Books	paperback	0	3.3
BK-0166	A Hollow Starling	Caspian Nordstrom	Cookery	en	956	2022	Marrow & Vane	paperback	1	3.3
BK-0167	Thornmere and Windrow	Peregrine Gilliard	Cookery	en	776	2022	Fen & Fable	paperback	1	3.7
BK-0168	Saltglass and Fernhollow	Ursula Nordstrom	Travel Writing	es	977	2010	Quarto Lantern	paperback	4	3.4
BK-0169	Fernhollow in the Mistfall	Reverie Sandoval	Mystery	en	693	2023	Marrow & Vane	paperback	8	4.3
BK-0170	Cinderbell and Starling	Hesper Iversen	Poetry	fr	906	2006	Northmere Editions	hardcover	8	4.7
BK-0171	Duskwater and Fernhollow	Sable Ardmore	Essays	es	300	2011	Hollowbrook Books	audiobook	5	4.9
BK-0172	Larkspur and Halfmoon	Yolanda Lindqvist	Poetry	en	572	2022	Marrow & Vane	paperback	3	4.6
BK-0173	A Wandering Duskwater	Jorvik Yarrow	Biography	fr	190	2011	Grayling Press	paperback	1	4.1
BK-0174	Salted Lanternwood	Hesper Nakamura	Historical Fiction	en	871	2017	Grayling Press	audiobook	0	4.0
BK-0175	Duskwater in the Moorlight	Talia Duskwood	Essays	en	712	2018	Grayling Press	audiobook	4	4.5
BK-0176	Wandering Thornmere	Soren Jandreau	Literary Fiction	en	531	2006	Thistle Row	paperback	5	4.8
BK-0177	A Gilded Stormglass	Nerissa Underhill	Travel Writing	en	658	2014	Marrow & Vane	paperback	4	3.5
BK-0178	A Salted Saltglass	Talia Oyelaran	Biography	de	382	2015	Thistle Row	paperback	8	3.6
BK-0179	Saltglass in the Bellwether	Rosalind Chaudhry	Fantasy	en	284	2013	Thistle Row	paperback	10	3.1
BK-0180	A Unnumbered Quillstone	Peregrine Moreau	Fantasy	en	826	2015	Northmere Editions	paperback	0	3.9
